tid,country,unit,target,project_name,wiki,megawatts,status,financer,financer_type,source,source_iso,source_lat,source_lng,finance_type,era,close_year,dollars,epc,sponsor,parent,subnational,target_lat,target_lng,target_country_lat,target_country_lng
G100007,Russia,Abakan power station Unit 4,Abakan power station,Abakan power station,https://www.gem.wiki/Abakan_power_station,136,operating,Eurasian Development Bank,Governmental policy institution,International,#N/A,#N/A,#N/A,loan,closed,2012,123106304,,,SUEK,Abakan,53.71913,91.32308,61.52401,105.318756
G107820,India,Adani Godda power station Unit 1,Adani Godda power station,Adani Godda power station,https://www.gem.wiki/Adani_Godda_power_station,800,construction,Adani Group,Privately-owned commercial institution,corporate,#N/A,#N/A,#N/A,equity,closed,2019,101500000,SEPCO-3,,Adani Group,Godda,24.81411,87.13546,20.593684,78.96288
G107821,India,Adani Godda power station Unit 2,Adani Godda power station,Adani Godda power station,https://www.gem.wiki/Adani_Godda_power_station,800,construction,Adani Group,Privately-owned commercial institution,corporate,#N/A,#N/A,#N/A,equity,closed,2019,101500000,SEPCO-3,,Adani Group,Godda,24.81411,87.13546,20.593684,78.96288
G107820,India,Adani Godda power station Unit 1,Adani Godda power station,Adani Godda power station,https://www.gem.wiki/Adani_Godda_power_station,800,construction,Power Finance Corporation,Government-owned commercial institution,India,IN,20.593684,78.96288,loan,closed,2019,350000000,SEPCO-3,,Adani Group,Godda,24.81411,87.13546,20.593684,78.96288
G107821,India,Adani Godda power station Unit 2,Adani Godda power station,Adani Godda power station,https://www.gem.wiki/Adani_Godda_power_station,800,construction,Power Finance Corporation,Government-owned commercial institution,India,IN,20.593684,78.96288,loan,closed,2019,350000000,SEPCO-3,,Adani Group,Godda,24.81411,87.13546,20.593684,78.96288
G107820,India,Adani Godda power station Unit 1,Adani Godda power station,Adani Godda power station,https://www.gem.wiki/Adani_Godda_power_station,800,construction,Rural Electrification Corporation,Government-owned commercial institution,India,IN,20.593684,78.96288,loan,closed,2019,350000000,SEPCO-3,,Adani Group,Godda,24.81411,87.13546,20.593684,78.96288
G107821,India,Adani Godda power station Unit 2,Adani Godda power station,Adani Godda power station,https://www.gem.wiki/Adani_Godda_power_station,800,construction,Rural Electrification Corporation,Government-owned commercial institution,India,IN,20.593684,78.96288,loan,closed,2019,350000000,SEPCO-3,,Adani Group,Godda,24.81411,87.13546,20.593684,78.96288
G100041,India,Aditya Aluminium power station Unit 1,Aditya Aluminium power station,Aditya Aluminium power station,https://www.gem.wiki/Aditya_Aluminium_power_station,150,operating,N/A,Unknown,N/A,#N/A,#N/A,#N/A,loan,closed,2012,112998676,,,Aditya Birla Group,Sambalpur,21.74007,84.06059,20.593684,78.96288
G100042,India,Aditya Aluminium power station Unit 2,Aditya Aluminium power station,Aditya Aluminium power station,https://www.gem.wiki/Aditya_Aluminium_power_station,150,operating,N/A,Unknown,N/A,#N/A,#N/A,#N/A,loan,closed,2012,112998676,,,Aditya Birla Group,Sambalpur,21.74007,84.06059,20.593684,78.96288
G100041,India,Aditya Aluminium power station Unit 1,Aditya Aluminium power station,Aditya Aluminium power station,https://www.gem.wiki/Aditya_Aluminium_power_station,150,operating,Industrial Development Bank of India (IDBI),Governmental policy institution,India,IN,20.593684,78.96288,loan,closed,2012,56499338,,,Aditya Birla Group,Sambalpur,21.74007,84.06059,20.593684,78.96288
G100042,India,Aditya Aluminium power station Unit 2,Aditya Aluminium power station,Aditya Aluminium power station,https://www.gem.wiki/Aditya_Aluminium_power_station,150,operating,Industrial Development Bank of India (IDBI),Governmental policy institution,India,IN,20.593684,78.96288,loan,closed,2012,56499338,,,Aditya Birla Group,Sambalpur,21.74007,84.06059,20.593684,78.96288
G100043,India,Aditya Aluminium power station Unit 3,Aditya Aluminium power station,Aditya Aluminium power station,https://www.gem.wiki/Aditya_Aluminium_power_station,150,operating,Industrial Development Bank of India (IDBI),Governmental policy institution,India,IN,20.593684,78.96288,loan,closed,2012,56499338,,,Aditya Birla Group,Sambalpur,21.74007,84.06059,20.593684,78.96288
