GEM unit/phase ID,GEM location ID,Country,Wiki URL,Plant name,Unit name,Plant name (local),Plant name (other),Owner,Parent,Capacity (MW),Status,Start year,Retired year,Planned retirement,Combustion technology,Coal type,Coal source,Alternate Fuel,Location,"Local area (taluk, county)","Major area (prefecture, district)","Subnational unit (province, state)",Subregion,Region,Previous Region,Latitude,Longitude,Location accuracy,Permits (Detail),Permits (Main Date Only),Captive,Captive industry use,Captive residential use,Heat rate (Btu per kWh),Emission factor (kg of CO2 per TJ),Capacity factor,Annual CO2 (million tonnes / annum),Lifetime CO2,Financier,Financier Public or Private,Financier Type,Domestic/International,Financier Country,Advisor,Type of Finance,Equity Partnership,Units Included,Financing Status,Repaid?,Close Date,Close Year,All Finance This Plant,This Financier's Total Share,This Financier's Unit Share,EPC Company,Insurance,Equipment (GENMFR),TurbMFR,BoilerMFR
G100000100401,L100000103657,Türkiye,https://www.gem.wiki/Atlas_Enerji_%C4%B0skenderun_power_station,Atlas Enerji İskenderun power station,Unit 1,"Atlas Enerji, Atlas İskenderun Termik Santrali",,Atlas Enerji Üretim [100%],Diler Holding AŞ,600,operating,2014,,,supercritical,bituminous,,,,Azganlık,İskenderun,Hatay,Western Asia,Asia,non-EU Europe,36.69028,36.20909,exact,,,,,,"8,409","94,600",53.00%,2.3,72.5,Akbank,Private,Privately-owned commercial institution,Domestic,Türkiye,N/A,loan,,"1,2",Closed,,N/A,N/A,N/A,N/A,N/A,,,,,
G100000108586,L100000100003,Argentina,https://www.gem.wiki/R%C3%ADo_Turbio_power_station,Río Turbio power station,Unit 2,Central Térmica Río Turbio,"14 Mineros power station, Central Termoeléctrica 14 Mineros",Yacimientos Carboníferos de Río Turbio [100%],Yacimientos Carboníferos de Río Turbio [100.0%],120,construction,2023,,,subcritical,bituminous,Río Turbio coal mine,,Río Turbio coal mine,,Güer Aike,Santa Cruz,Latin America and the Caribbean,Americas,Latin America,-51.546015,-72.231256,exact,,,,,,"10,442","94,600",53.00%,0.6,23.2,N/A,N/A,N/A,,N/A,,,,,Unknown,,,,,,,,,,,
G100000114249,L100000104597,Australia,https://www.gem.wiki/Collinsville_(Shine_Energy)_power_station,Collinsville (Shine Energy) power station,Unit 1,,,Shine Energy [100%],Shine Energy [100.0%],315,pre-permit,2028,,,Unknown,bituminous,,,Mannering Park,,,New South Wales,Australia and New Zealand,Oceania,Australia/NZ,-20.545051,147.804557,approximate,,,,,,"9,466","94,600",53.00%,1.4,55.3,N/A,N/A,Unknown,,N/A,,loan,,,Unknown,,,,,,,,,,,
G100000114501,L100000103657,Türkiye,https://www.gem.wiki/Atlas_Enerji_%C4%B0skenderun_power_station,Atlas Enerji İskenderun power station,Unit 2,"Atlas Enerji, Atlas İskenderun Termik Santrali",,Atlas Enerji Üretim [100%],Diler Holding AŞ,600,operating,2014,,,supercritical,bituminous,,,,Azganlık,İskenderun,Hatay,Western Asia,Asia,non-EU Europe,36.69028,36.20909,exact,,,,,,"8,409","94,600",53.00%,2.3,72.5,Akbank,Private,Privately-owned commercial institution,Domestic,Türkiye,N/A,loan,,"1,2",Closed,,N/A,N/A,N/A,N/A,N/A,,,,,
G100000105490,L100000102736,Indonesia,https://www.gem.wiki/Kaltim_FTP2_power_station,Kaltim FTP2 power station,Unit 1,,印尼卡帝姆2期电站,PT PLN (Persero) [100%],PT PLN (Persero) [100.0%],100,operating,2019,,,subcritical,Unknown,,,,,East Kutai,East Kalimantan,South-eastern Asia,Asia,SE Asia,0.0551785,117.4945887,exact,,,,,,"10,442","96,100",53.00%,0.5,17.7,Bank of China,Private,Government-owned commercial institution,International,China,,loan,,"1,2",Closed,,N/A,N/A,N/A,N/A,N/A,"China Chengda Engineering Co., Ltd.",,,,
G100000105491,L100000102736,Indonesia,https://www.gem.wiki/Kaltim_FTP2_power_station,Kaltim FTP2 power station,Unit 2,,印尼卡帝姆2期电站,PT PLN (Persero) [100%],PT PLN (Persero) [100.0%],100,operating,2020,,,subcritical,Unknown,,,Teluk Kadere,Bontang Listari,East Kutai,East Kalimantan,South-eastern Asia,Asia,SE Asia,0.0551785,117.4945887,exact,,,,,,"10,442","96,100",53.00%,0.5,18.2,Bank of China,Private,Government-owned commercial institution,International,China,,loan,,"1,2",Closed,,N/A,N/A,N/A,N/A,N/A,"China Chengda Engineering Co., Ltd.",,,,
G100000106793,L100000102053,India,https://www.gem.wiki/Meenakshi_Energy_Thermal_Power_Project,Meenakshi Energy Thermal Power Project,Phase I Unit 2,,Thamminapatnam,Meenakshi Energy [100%],Vedanta Ltd [100.0%],150,operating,2013,,,subcritical,Unknown,"70% domestic, 30% imported",,Thamminapatnam,Chillakur,Nellore,Andhra Pradesh,Southern Asia,Asia,South Asia,14.211195,80.090062,exact,"October 19, 2009 – Environmental Clearance","Year: 2009, Month: 10, Day: 19",,,,"11,313","96,100",53.00%,0.8,24,Bank of India,Private,Government-owned commercial institution,Domestic,India,,loan,,"1,2,3,4",Closed,,,n/a,,,,,,,,
G100000106794,L100000102053,India,https://www.gem.wiki/Meenakshi_Energy_Thermal_Power_Project,Meenakshi Energy Thermal Power Project,Unit 3,,Thamminapatnam,Meenakshi Energy [100%],Vedanta Ltd [100.0%],350,construction,2024,,,subcritical,Unknown,"70% domestic, 30% imported",,Thamminapatnam,Chillakur,Nellore,Andhra Pradesh,Southern Asia,Asia,South Asia,14.211195,80.090062,exact,"October 19, 2009 – Environmental Clearance; Environmental Clearance Compliance Form: 2009-06-03; Environmental Clearance Extension: 2013-10-09","Year: 2009, Month: 10, Day: 19",,,,"9,572","96,100",53.00%,1.6,63.1,Bank of India,Private,Government-owned commercial institution,Domestic,India,,loan,,"1,2,3,4",Closed,,,n/a,,,,,,,,
G100000106795,L100000102053,India,https://www.gem.wiki/Meenakshi_Energy_Thermal_Power_Project,Meenakshi Energy Thermal Power Project,Unit 4,,Thamminapatnam,Meenakshi Energy [100%],Vedanta Ltd [100.0%],350,construction,2024,,,subcritical,Unknown,,,Thamminapatnam,Chillakur,Nellore,Andhra Pradesh,Southern Asia,Asia,South Asia,14.211195,80.090062,exact,Terms of Reference: 2010-12-09,,,,,"9,572","96,100",53.00%,1.6,63.1,Bank of India,Private,Government-owned commercial institution,Domestic,India,,loan,,"1,2,3,4",Closed,,,n/a,,,,,,,,
G100000106708,L100000102165,India,https://www.gem.wiki/Marwa_power_station,Marwa power station,Unit 1,,,Chhattisgarh State Power Generation [100%],Chhattisgarh State Power Generation [100.0%],500,operating,2014,,,subcritical,subbituminous,,,Marwa,,Janjgir-Champa,Chhattisgarh,Southern Asia,Asia,South Asia,22.070801,82.602189,exact,,,,,,"8,702","96,100",53.00%,2,63.5,Chhattisgarh State Power Generation Company Limited,Private,Government-owned commercial institution,Domestic,India,N/A,loan,,"1,2",Closed,,N/A,N/A,N/A,N/A,N/A,,,,,
