,tid,country,unit,target,project_name,wiki,megawatts,status,financer,financer_type,source,source_iso,source_lat,source_lng,finance_type,era,close_year,dollars,epc,sponsor,parent,subnational,target_lat,target_lng,target_country_lat,target_country_lng
0,G101511,Bangladesh,Banshkhali power station (S Alam) Unit 1,Banshkhali power station (S Alam),Banshkhali power station (S Alam),https://www.gem.wiki/Chittagong_power_station_(S_Alam),612,construction,Export-Import Bank of China,Governmental policy institution,China,CN,35.86166,104.195397,loan,closed,2017.0,869500000.0,Shangdong Electric Power Corporation III (SEPCO3),"S Alam Group, SEPCOIII, STG Development Group","S Alam Group, SEPCOIII, STG Development Group",,21.97084,91.88893,23.684994,90.35633100000001
1,G101511,Bangladesh,Banshkhali power station (S Alam) Unit 1,Banshkhali power station (S Alam),Banshkhali power station (S Alam),https://www.gem.wiki/Chittagong_power_station_(S_Alam),612,construction,S. Alam Group,Privately-owned commercial institution,Bangladesh,BD,23.684994,90.35633100000001,equity,closed,2017.0,165250000.0,Shangdong Electric Power Corporation III (SEPCO3),"S Alam Group, SEPCOIII, STG Development Group","S Alam Group, SEPCOIII, STG Development Group",,21.97084,91.88893,23.684994,90.35633100000001
2,G101511,Bangladesh,Banshkhali power station (S Alam) Unit 1,Banshkhali power station (S Alam),Banshkhali power station (S Alam),https://www.gem.wiki/Chittagong_power_station_(S_Alam),612,construction,Shangdong Electric Power Corporation III (SEPCO3),Government-owned commercial institution,China,CN,35.86166,104.195397,equity,closed,2017.0,165250000.0,Shangdong Electric Power Corporation III (SEPCO3),"S Alam Group, SEPCOIII, STG Development Group","S Alam Group, SEPCOIII, STG Development Group",,21.97084,91.88893,23.684994,90.35633100000001
3,G101512,Bangladesh,Banshkhali power station (S Alam) Unit 2,Banshkhali power station (S Alam),Banshkhali power station (S Alam),https://www.gem.wiki/Chittagong_power_station_(S_Alam),612,construction,Export-Import Bank of China,Governmental policy institution,China,CN,35.86166,104.195397,loan,closed,2017.0,869500000.0,Shangdong Electric Power Corporation III (SEPCO3),"S Alam Group, SEPCOIII, STG Development Group","S Alam Group, SEPCOIII, STG Development Group",,21.97907,91.88894,23.684994,90.35633100000001
4,G101512,Bangladesh,Banshkhali power station (S Alam) Unit 2,Banshkhali power station (S Alam),Banshkhali power station (S Alam),https://www.gem.wiki/Chittagong_power_station_(S_Alam),612,construction,S. Alam Group,Privately-owned commercial institution,Bangladesh,BD,23.684994,90.35633100000001,equity,closed,2017.0,165250000.0,Shangdong Electric Power Corporation III (SEPCO3),"S Alam Group, SEPCOIII, STG Development Group","S Alam Group, SEPCOIII, STG Development Group",,21.97907,91.88894,23.684994,90.35633100000001
5,G101512,Bangladesh,Banshkhali power station (S Alam) Unit 2,Banshkhali power station (S Alam),Banshkhali power station (S Alam),https://www.gem.wiki/Chittagong_power_station_(S_Alam),612,construction,Shangdong Electric Power Corporation III (SEPCO3),Government-owned commercial institution,China,CN,35.86166,104.195397,equity,closed,2017.0,165250000.0,Shangdong Electric Power Corporation III (SEPCO3),"S Alam Group, SEPCOIII, STG Development Group","S Alam Group, SEPCOIII, STG Development Group",,21.97907,91.88894,23.684994,90.35633100000001
6,G100600,Bangladesh,Barapukuria Coal Power Plant Unit 3,Barapukuria Coal Power Plant,Barapukuria Coal Power Plant,https://www.gem.wiki/Barapukuria_Coal_Power_Plant,275,operating,Government of Bangladesh,Governmental policy institution,Bangladesh,BD,23.684994,90.35633100000001,equity,closed,2014.0,106520000.0,GE and China National Machinery and Equipment Import and Export Corporation,Bangladesh Power Development Board,Bangladesh Power Development Board,,25.55344,88.95048,23.684994,90.35633100000001
7,G100600,Bangladesh,Barapukuria Coal Power Plant Unit 3,Barapukuria Coal Power Plant,Barapukuria Coal Power Plant,https://www.gem.wiki/Barapukuria_Coal_Power_Plant,275,operating,Industrial and Commercial Bank of China (ICBC),Government-owned commercial institution,China,CN,35.86166,104.195397,loan,closed,2014.0,224000000.0,GE and China National Machinery and Equipment Import and Export Corporation,Bangladesh Power Development Board,Bangladesh Power Development Board,,25.55344,88.95048,23.684994,90.35633100000001
8,G113488,Bangladesh,Barisal power station Unit 1,Barisal power station,Barisal power station,https://www.gem.wiki/Barisal_power_station,350,construction,PowerChina,Government-owned commercial institution,China,CN,35.86166,104.195397,equity,closed,2021.0,,PowerChina,"ISO Tech Group, Power China Resources","ISO Tech Group, Power China Resources",,21.96104,90.06271,23.684994,90.35633100000001
9,G113488,Bangladesh,Barisal power station Unit 1,Barisal power station,Barisal power station,https://www.gem.wiki/Barisal_power_station,350,construction,Bank of China,Government-owned commercial institution,China,CN,35.86166,104.195397,loan,closed,2021.0,,PowerChina,"ISO Tech Group, Power China Resources","ISO Tech Group, Power China Resources",,21.96104,90.06271,23.684994,90.35633100000001
